Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,acceleration,weight,horsepower,displacement,Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km)
BMW,320i,COMPACT,2.0,4,A8,Z,12.8,2600,110,121.0,8.4,193
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,13.4,3445,165,231.0,9.9,228
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,17.3,2950,90,151.0,11.7,269
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,9.0,4354,220,454.0,9.6,221
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.0,4209,165,350.0,10.6,244
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,12.0,4274,165,350.0,14.3,229
CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS6,Z,12.0,3504,130,307.0,9.9,228
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,15.5,3329,100,250.0,8.0,184
DODGE,CHALLENGER,MID-SIZE,3.6,6,A5,X,10.0,3563,170,383.0,11.2,258
DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,13.0,2370,84,135.0,10.3,237
DODGE,DART,MID-SIZE,2.0,4,M6,X,11.0,3399,150,318.0,8.1,186
DODGE,DART,MID-SIZE,2.4,4,A6,X,11.0,3399,150,318.0,8.6,198
DODGE,DART,MID-SIZE,2.4,4,M6,X,11.0,3399,150,318.0,8.8,202
FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,14.4,1800,66,98.0,7.6,175
FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,14.5,3139,88,250.0,10.2,235
FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.0,3169,129,302.0,10.6,244
FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,15.8,2755,89,140.0,11.5,264
FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,14.3,2905,87,140.0,12.7,292
FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.6,2790,86,140.0,13.2,304
HONDA,ACCORD,MID-SIZE,2.4,4,AV7,X,18.5,2045,68,98.0,8.1,186
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,16.6,2135,68,98.0,8.7,200
HONDA,ACCORD,MID-SIZE,3.5,6,A6,X,17.0,2290,72,107.0,9.1,209
HONDA,ACCORD,MID-SIZE,3.5,6,AS6,X,14.5,2205,75,107.0,9.6,221
HONDA,ACCORD,MID-SIZE,3.5,6,M6,X,14.5,2205,75,107.0,10.9,251
HONDA,CIVIC,COMPACT,1.8,4,AV,X,15.0,2489,97,120.0,7.0,161
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,17.5,1795,53,91.0,7.2,166
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,13.8,1850,67,91.0,7.2,166
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,16.1,1760,60,81.0,7.2,166
HONDA,CIVIC,COMPACT,1.8,4,M5,X,15.7,1965,67,91.0,7.6,175
NISSAN,MAXIMA,MID-SIZE,3.5,6,AV,Z,13.8,2930,120,146.0,10.9,251
SCION,tC,COMPACT,2.5,4,AS6,X,14.9,2150,70,105.0,9.0,207
TOYOTA,COROLLA,MID-SIZE,1.8,4,A4,X,19.0,1773,65,71.0,7.7,177
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,16.5,2100,88,97.0,7.3,168
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV,X,21.0,1836,65,71.0,7.1,163
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,16.0,2171,75,97.0,7.4,170
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,16.4,2155,75,97.0,7.4,170
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,18.2,2265,75,97.0,7.4,170
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,15.2,2265,75,108.0,7.4,170
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,16.8,2350,75,108.0,7.4,170
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,16.9,2245,70,108.0,7.4,170
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,A6,X,21.0,1950,46,97.0,8.5,196
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M5,X,21.0,1950,46,97.0,8.7,200
VOLKSWAGEN,BEETLE,COMPACT,2.0,4,A6,Z,21.0,1950,46,97.0,9.1,209
VOLKSWAGEN,BEETLE,COMPACT,2.0,4,M6,Z,21.0,1950,46,97.0,9.4,216
VOLKSWAGEN,BEETLE,COMPACT,2.5,5,A6,X,21.0,1950,46,97.0,9.8,225
VOLKSWAGEN,BEETLE,COMPACT,2.5,5,M5,X,21.0,1950,46,97.0,9.6,221
VOLKSWAGEN,CC,COMPACT,2.0,4,A6,Z,14.9,1990,71,89.0,9.7,223
VOLKSWAGEN,CC,COMPACT,2.0,4,M6,Z,14.9,1990,71,89.0,9.8,225
VOLKSWAGEN,JETTA,COMPACT,1.8,4,A6,X,14.2,2190,74,105.0,8.2,189
VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,X,14.2,2190,74,105.0,8.2,189
VOLKSWAGEN,JETTA,COMPACT,2.0,4,A6,X,14.2,2190,74,105.0,9.4,216
VOLKSWAGEN,JETTA,COMPACT,2.0,4,M5,X,14.2,2190,74,105.0,9.0,207
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,13.4,3445,165,231.0,9.8,225
BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,13.4,3445,165,231.0,9.8,225
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,17.3,2950,90,151.0,11.3,260
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,17.3,2950,90,151.0,11.5,265
CHEVROLET,CAMARO,COMPACT,6.2,8,AS6,Z,17.3,2950,90,151.0,12.8,294
CHEVROLET,CAMARO,COMPACT,6.2,8,M6,Z,17.3,2950,90,151.0,12.7,292
DODGE,CHALLENGER,MID-SIZE,3.6,6,A8,X,10.0,3563,170,383.0,10.3,237
DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,10.0,3563,170,383.0,13.1,301
DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,10.0,3563,170,383.0,13.9,320
DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.0,2370,84,135.0,11.5,264
DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,13.0,2370,84,135.0,10.3,237
DODGE,DART,MID-SIZE,2.0,4,M6,X,11.0,3399,150,318.0,8.1,186
DODGE,DART,MID-SIZE,2.4,4,A6,X,11.0,3399,150,318.0,8.6,198
DODGE,DART,MID-SIZE,2.4,4,M6,X,11.0,3399,150,318.0,8.8,202
FORD,FIESTA,SUBCOMPACT,1.6,4,M5,X,14.4,1800,66,98.0,7.6,175
HONDA,ACCORD,MID-SIZE,2.4,4,AV,X,14.5,2205,75,107.0,7.8,179
HONDA,ACCORD,MID-SIZE,2.4,4,AV7,X,14.5,2205,75,107.0,8.0,184
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,14.5,2205,75,107.0,8.7,200
HONDA,ACCORD,MID-SIZE,3.5,6,A6,X,18.5,2045,68,98.0,9.1,209
HONDA,ACCORD,MID-SIZE,3.5,6,AS6,X,14.5,2205,75,107.0,9.5,219
HONDA,ACCORD,MID-SIZE,3.5,6,M6,X,14.5,2205,75,107.0,10.9,251
HONDA,CIVIC,COMPACT,1.8,4,AV,X,15.7,1965,67,91.0,7.1,163
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,15.7,1965,67,91.0,7.2,166
HONDA,CIVIC,COMPACT,1.8,4,M5,X,15.0,2489,97,120.0,7.7,177
SCION,tC,COMPACT,2.5,4,AS6,X,14.0,2246,75,116.0,9.0,207
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,21.0,1836,65,71.0,7.1,163
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV,X,18.2,2265,75,97.0,7.3,168
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV,X,18.8,1968,60,89.0,7.3,168
VOLKSWAGEN,BEETLE,COMPACT,2.0,4,M6,Z,21.0,1950,46,97.0,9.2,212
VOLKSWAGEN,CC,COMPACT,2.0,4,M6,Z,14.9,1990,71,89.0,9.6,221
VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,X,14.2,2190,74,105.0,8.0,184
BMW,320i,COMPACT,2.0,4,AS8,Z,12.8,2600,110,121.0,8.4,197
BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,13.4,3445,165,231.0,9.8,230
